"","x"
"1",26.5
"2",-289
"3",102
"4",186
"5",67
"6",123
"7",83.5
"8",97
"9",130.5
"10",616
"11",46
"12",190.5
"13",55
"14",-24
"15",NA
"16",266.5
"17",117.5
"18",4
"19",145
"20",34
"21",4
"22",33.5
"23",121
"24",-216
"25",155.5
"26",-284.5
"27",191.5
"28",130
"29",89
"30",155
"31",-25
"32",47.5
"33",-27
"34",-25
"35",-161
"36",-14.5
"37",65
"38",24
"39",23
"40",1
"41",45
"42",-61
"43",-44.5
"44",80.5
"45",133.5
"46",108.5
"47",21
"48",24
"49",103
"50",39.5
"51",89
"52",75.5
"53",-6.5
"54",88
"55",-43.5
"56",40
"57",35
"58",7.5
"59",-131.5
"60",104
"61",5
"62",73.5
"63",42
"64",21.5
"65",105
"66",99
"67",-84.5
"68",-102
"69",76.5
"70",44
"71",157.5
"72",29
"73",160.5
"74",-34.5
"75",11.5
"76",32.5
"77",143
"78",42.5
"79",64
"80",165
"81",191
"82",60
"83",40
"84",-29
"85",-117.5
"86",NA
"87",NA
"88",14.5
"89",70
"90",115
"91",-14
"92",-35.5
"93",NA
"94",NA
"95",NA
"96",-55
"97",29
"98",-51.5
"99",50.5
"100",162
"101",114
"102",89
"103",127.5
"104",130.5
"105",-36.5
"106",79
"107",39
"108",21
"109",-200.5
"110",-12.5
"111",-65.5
"112",-99
"113",47.5
"114",-24.5
"115",2
"116",39
"117",94.5
"118",43.5
"119",-14
"120",224.5
"121",35.5
"122",106.5
"123",112
"124",43
"125",13
"126",12.5
"127",6
"128",120
"129",75.5
"130",46
"131",-126
"132",59.5
"133",-19
"134",149.5
"135",-10
"136",196.5
"137",52.5
"138",225
"139",99
"140",-198.5
"141",94
"142",10
"143",113
"144",105
"145",59
"146",-5
"147",95.5
"148",172
"149",61.5
"150",148
"151",26
"152",69
"153",16.5
"154",44.5
"155",27
"156",92.5
"157",61
"158",23.5
"159",-88.5
"160",86.5
"161",70
"162",17
"163",44.5
"164",-2.5
"165",188
"166",10.5
"167",80.5
"168",93
"169",-30
"170",8.5
"171",81.5
